Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,market_value_eur_M
Luca Smith 0,MAR,FW,Arsenal,Premier League,28,25,6,986,11,3,14,11,0,0,0,0,1.81,1.81,0.91,2.72,97,41,148,1.0,0.27,0.17,129.4
Marco López 1,FRA,MF,Arsenal,Premier League,23,16,2,386,1,7,8,1,0,0,3,0,2.73,2.73,0.17,2.9,107,130,89,0.23,1.63,0.64,78.5
James Wagner 2,GER,DF,Arsenal,Premier League,26,19,7,790,4,3,7,4,0,1,0,0,0.53,0.53,0.33,0.86,18,107,10,0.46,0.34,0.06,50.6
Carlos Garcia 3,NED,FW,Arsenal,Premier League,27,31,4,1343,14,2,16,14,0,1,2,0,3.54,3.54,5.89,9.43,143,105,94,0.94,0.13,0.24,181.6
Luis Fernández 4,ESP,MF,Arsenal,Premier League,25,23,6,677,4,5,9,4,0,0,1,0,8.21,8.21,8.14,16.35,73,133,69,0.53,0.66,1.09,126.3
Antoine Becker 5,POL,DF,Arsenal,Premier League,22,29,19,1203,0,2,2,0,0,0,5,0,0.19,0.19,0.74,0.93,68,137,41,0.0,0.15,0.01,14.7
Kai Müller 6,GER,DF,Arsenal,Premier League,25,27,4,1270,2,2,4,2,0,0,4,0,0.13,0.13,0.83,0.96,26,57,33,0.14,0.14,0.01,35.4
Jude Martinez 7,CRO,MF,Arsenal,Premier League,27,31,3,1169,3,5,8,3,0,0,6,0,10.34,10.34,10.49,20.83,128,56,129,0.23,0.38,0.8,102.8
Vinicius Fischer 8,NGR,FW,Arsenal,Premier League,27,28,19,1198,13,7,20,13,0,0,2,0,46.76,46.76,0.87,47.63,107,52,201,0.98,0.53,3.51,170.2
Erling Rossi 9,GER,MF,Arsenal,Premier League,27,10,2,392,5,6,11,5,0,0,6,0,8.6,8.6,6.89,15.49,66,73,132,1.15,1.38,1.97,102.4
Kylian Rodríguez 10,POL,MF,Arsenal,Premier League,26,26,22,1156,3,6,9,3,0,0,4,0,0.02,0.02,4.94,4.96,49,114,47,0.23,0.47,0.0,27.9
Pedri Schneider 11,BRA,GK,Arsenal,Premier League,22,10,5,645,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,7,4,0.0,0.0,0.0,12.4
Gavi Dupont 12,NGR,MF,Arsenal,Premier League,26,23,16,1267,3,5,8,3,0,0,4,0,0.39,0.39,1.01,1.4,138,166,168,0.21,0.36,0.03,79.2
Bukayo Hernández 13,ITA,DF,Arsenal,Premier League,27,19,16,1226,1,2,3,1,0,0,0,0,0.85,0.85,0.92,1.77,19,88,43,0.07,0.15,0.06,25.3
Trent Meyer 14,SEN,MF,Arsenal,Premier League,28,6,0,246,7,4,11,7,0,0,3,0,0.07,0.07,0.5,0.57,64,264,120,2.56,1.46,0.03,102.7
Phil Silva 15,COL,FW,Arsenal,Premier League,26,28,3,957,9,6,15,9,0,0,2,0,2.45,2.45,5.13,7.58,62,108,158,0.85,0.56,0.23,131.3
Harry González 16,POR,FW,Arsenal,Premier League,24,32,13,1507,10,3,13,8,2,2,3,0,26.3,24.78,6.84,31.62,78,72,101,0.6,0.18,1.57,200.0
Son Weber 17,BEL,DF,Arsenal,Premier League,29,17,7,782,2,0,2,2,0,0,3,0,6.47,6.47,0.84,7.31,74,105,26,0.23,0.0,0.74,36.1
Bruno Santos 18,MAR,FW,Arsenal,Premier League,25,17,17,1224,5,7,12,5,0,1,2,0,29.73,29.73,0.06,29.79,199,64,120,0.37,0.51,2.19,100.0
Kevin Pérez 19,SEN,MF,Arsenal,Premier League,21,18,14,1090,3,7,10,3,0,0,1,0,1.74,1.74,4.38,6.12,121,150,80,0.25,0.58,0.14,62.8
Robert Smith 20,SEN,MF,Arsenal,Premier League,28,6,1,144,1,10,11,1,0,0,5,0,0.23,0.23,10.0,10.23,110,246,134,0.62,6.25,0.14,44.6
