Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,CrdY,CrdR,over_xG,cluster,cluster_label,market_value_eur_M,GA_pred_lr,GA_pred_rf,xG_diff
Luca Smith 0,MAR,FW,Arsenal,Premier League,28,986,25,11,3,14,11,0,1.81,0.91,1.81,2.72,97,41,148,1.0,0.27,0.17,0,0,1,0,Delantero Goleador,129.4,8.42,14.56,9.19
Marco López 1,FRA,MF,Arsenal,Premier League,23,386,16,1,7,8,1,0,2.73,0.17,2.73,2.9,107,130,89,0.23,1.63,0.64,3,0,0,1,Mediocampista Creativo,78.5,9.15,8.35,-1.73
James Wagner 2,GER,DF,Arsenal,Premier League,26,790,19,4,3,7,4,0,0.53,0.33,0.53,0.86,18,107,10,0.46,0.34,0.06,0,0,1,2,Defensor Ofensivo,50.6,4.12,5.33,3.47
Carlos Garcia 3,NED,FW,Arsenal,Premier League,27,1343,31,14,2,16,14,0,3.54,5.89,3.54,9.43,143,105,94,0.94,0.13,0.24,2,0,1,0,Delantero Goleador,181.6,12.19,14.28,10.46
Luis Fernández 4,ESP,MF,Arsenal,Premier League,25,677,23,4,5,9,4,0,8.21,8.14,8.21,16.35,73,133,69,0.53,0.66,1.09,1,0,0,1,Mediocampista Creativo,126.3,10.24,9.23,-4.21
Antoine Becker 5,POL,DF,Arsenal,Premier League,22,1203,29,0,2,2,0,0,0.19,0.74,0.19,0.93,68,137,41,0.0,0.15,0.01,5,0,0,2,Defensor Ofensivo,14.7,6.77,3.04,-0.19
Kai Müller 6,GER,DF,Arsenal,Premier League,25,1270,27,2,2,4,2,0,0.13,0.83,0.13,0.96,26,57,33,0.14,0.14,0.01,4,0,1,2,Defensor Ofensivo,35.4,4.48,3.92,1.87
Jude Martinez 7,CRO,MF,Arsenal,Premier League,27,1169,31,3,5,8,3,0,10.34,10.49,10.34,20.83,128,56,129,0.23,0.38,0.8,6,0,0,0,Delantero Goleador,102.8,13.87,9.69,-7.34
Vinicius Fischer 8,NGR,FW,Arsenal,Premier League,27,1198,28,13,7,20,13,0,46.76,0.87,46.76,47.63,107,52,201,0.98,0.53,3.51,2,0,0,0,Delantero Goleador,170.2,21.67,18.62,-33.76
Erling Rossi 9,GER,MF,Arsenal,Premier League,27,392,10,5,6,11,5,0,8.6,6.89,8.6,15.49,66,73,132,1.15,1.38,1.97,6,0,0,0,Delantero Goleador,102.4,9.6,12.16,-3.6
Kylian Rodríguez 10,POL,MF,Arsenal,Premier League,26,1156,26,3,6,9,3,0,0.02,4.94,0.02,4.96,49,114,47,0.23,0.47,0.0,4,0,1,2,Defensor Ofensivo,27.9,6.32,7.21,2.98
Gavi Dupont 12,NGR,MF,Arsenal,Premier League,26,1267,23,3,5,8,3,0,0.39,1.01,0.39,1.4,138,166,168,0.21,0.36,0.03,4,0,1,1,Mediocampista Creativo,79.2,10.46,8.65,2.61
Bukayo Hernández 13,ITA,DF,Arsenal,Premier League,27,1226,19,1,2,3,1,0,0.85,0.92,0.85,1.77,19,88,43,0.07,0.15,0.06,0,0,1,2,Defensor Ofensivo,25.3,4.41,3.27,0.15
Trent Meyer 14,SEN,MF,Arsenal,Premier League,28,246,6,7,4,11,7,0,0.07,0.5,0.07,0.57,64,264,120,2.56,1.46,0.03,3,0,1,1,Mediocampista Creativo,102.7,6.59,9.9,6.93
Phil Silva 15,COL,FW,Arsenal,Premier League,26,957,28,9,6,15,9,0,2.45,5.13,2.45,7.58,62,108,158,0.85,0.56,0.23,2,0,1,0,Delantero Goleador,131.3,7.62,12.34,6.55
Harry González 16,POR,FW,Arsenal,Premier League,24,1507,32,10,3,13,8,2,26.3,6.84,24.78,31.62,78,72,101,0.6,0.18,1.57,3,0,0,0,Delantero Goleador,200.0,15.45,13.86,-16.3
Son Weber 17,BEL,DF,Arsenal,Premier League,29,782,17,2,0,2,2,0,6.47,0.84,6.47,7.31,74,105,26,0.23,0.0,0.74,3,0,0,2,Defensor Ofensivo,36.1,8.68,6.85,-4.47
Bruno Santos 18,MAR,FW,Arsenal,Premier League,25,1224,17,5,7,12,5,0,29.73,0.06,29.73,29.79,199,64,120,0.37,0.51,2.19,2,0,0,0,Delantero Goleador,100.0,21.4,13.67,-24.73
Kevin Pérez 19,SEN,MF,Arsenal,Premier League,21,1090,18,3,7,10,3,0,1.74,4.38,1.74,6.12,121,150,80,0.25,0.58,0.14,1,0,1,1,Mediocampista Creativo,62.8,10.41,9.93,1.26
